Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
08.12.2023,"12,8557","12,9245","12,9334","12,6394",,"-0,52%"
07.12.2023,"12,9232","12,9748","13,0694","12,8239",,"-0,13%"
06.12.2023,"12,9398","12,6222","13,0675","12,4147",,"2,54%"
05.12.2023,"12,6193","12,8123","12,9965","12,5174",,"-1,47%"
04.12.2023,"12,8082","12,799","12,8675","12,6326",,"0,27%"
01.12.2023,"12,7738","12,6103","12,7767","12,3956",,"1,32%"
30.11.2023,"12,6071","12,4278","12,6819","12,3239",,"1,37%"
29.11.2023,"12,4364","12,4838","12,6042","12,3437",,"0,03%"
28.11.2023,"12,4324","12,4524","12,5719","12,3089",,"-0,16%"
27.11.2023,"12,452","12,5024","12,5064","12,3048",,"-0,29%"
24.11.2023,"12,488","12,3884","12,6335","12,3063",,"0,79%"
23.11.2023,"12,3901","12,3598","12,5638","12,1987",,"0,33%"
22.11.2023,"12,3497","12,3657","12,399","12,2451",,"-0,07%"
21.11.2023,"12,3588","12,4043","12,4643","12,1599",,"0,08%"
20.11.2023,"12,3486","12,4631","12,5723","12,07",,"-0,73%"
17.11.2023,"12,4396","12,3369","12,5843","12,1692",,"0,85%"
16.11.2023,"12,3351","12,3336","12,4152","12,1567",,"-0,06%"
15.11.2023,"12,3424","12,4672","12,647","12,1687",,"-1,09%"
14.11.2023,"12,4778","12,6146","12,6323","12,39",,"-1,03%"
13.11.2023,"12,6074","12,6496","12,6927","12,5157",,"-0,40%"
10.11.2023,"12,6578","12,5787","12,6922","12,5118",,"0,58%"
09.11.2023,"12,5852","12,6203","12,7221","12,5499",,"-0,23%"
08.11.2023,"12,6148","12,6559","12,7406","12,5499",,"-0,27%"
07.11.2023,"12,6489","12,7339","12,8092","12,5385",,"-0,73%"
06.11.2023,"12,7418","12,7415","12,7987","12,6042",,"0,21%"
03.11.2023,"12,7151","12,7472","12,8621","12,5646",,"-0,25%"
